Fluss,Nr,Name,Y,X,Bemerkung,Grabung,Anzahl Bef. (ausgegraben),Sequenztiefe,IMB,BON,IGD,ING,LOK,MON,LUS,YET,LNG,BOK,BKE,LON,MBA,BEK,BDG,BSG,WEM,WAF,NKI,MPO,BOS,MAL,BLD,BOT,IKK,"Ubangi-Ngiri-""Import""",BKN,LIK,BLM,LKG,NKB,IKE,ILB,YOP,LSL
,1,Bondongo-Losombo,"-1,012556","18,661187",Pos?,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
,2,Bongongo,"-0,794161","18,72677",Pos?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lac Tumba,3,Bikoro,"-0,736957","18,126623",,,,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruki Hinterland,4,Mbeke,"-0,250149","18,683283",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruki Hinterland,4a,Bokenyola,"-0,312474","18,64359",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Zaïre,5,Botunu,"-0,641539","17,702895",,,,3,,,,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,
Zaïre,6,Irebu,"-0,605136","17,768087",,,,1,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Zaïre,7,Ikengo,"-0,125879","18,13318",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Zaïre,8,Iyonda,"-0,037076","18,184492",,x,2,7,x,,x,,,,,,x,x,,,,,x,,,,x,,,,,x,,,,,,,,,,,
Zaïre,9,Inganda,"-0,015508","18,210484",,,,5,x,,,x,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,
Zaïre,10,Mbandaka,"0,047734","18,256204",,x,4,10,x,,,x,x,,x,,,,,x,x,,x,,,,x,,,,,x,,,,,,,,x,,,
Zaïre,10,Mbandaka (2011/12),"0,047734","18,256204",,x,5,2,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,
Ruki,11,Boyeka,"0,054651","18,332576",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ruki,12,Bamanya,"0,00979","18,316297",,x,1,9,x,x,,x,x,,,x,,,,,,,x,,,,x,,,,,x,,,,,,,,x,,,
Lac Mpaku,13,Mpaku,"-0,143084","18,570458",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ruki,14,Bokele,"-0,099389","18,59212",,x,4,9,x,,,,x,,x,,x,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,
Ruki,15,Nkombo,"-0,105135","18,619495",,,,7,x,,,,,,x,,,,,x,,,x,,,,x,,,,,x,,,,,,,,x,,,
Ruki,16,Ikua,"-0,107723","18,647911",,,,4,x,,,,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,
Ruki,17,Nkile,"-0,111339","18,677862",,x,4,12,x,,,,x,x,,x,x,,,x,x,,x,,,,x,,,,,x,,,x,,,,,x,,,
Ruki,18,Bokuma,"-0,114356","18,697792",,x,5,10,x,,,x,x,,,,x,x,,x,,,x,,,,x,,,,,x,,,,,,,,x,,,
Ruki,19,Basango,"-0,106739","18,718006",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruki,20,Ikenge,"-0,121739","18,781467",,x,2,10,x,x,x,x,,,,,,,,x,,,x,x,,,x,,,,,x,,,,,,,,x,,,
Ruki,21,Bampoko,"-0,146343","18,801017",,x,1,6,x,,,,,,,,x,,,x,,,x,,,,x,,,,,x,,,,,,,,,,,
Ruki,22,Isenge-Moke,"-0,170147","18,815449",,,,2,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,
Ruki,23,Bokenda,"-0,215793","18,850796",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Ruki,24,Longa,"-0,247706","18,881382",,x,3,8,x,,x,,x,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,x,,,
Ruki,24a,Benkombo,"-0,253658","18,886707",,x,1,2,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ruki,25,Botendo,"-0,268385","18,905869",,x,2,6,,,,,,,,,,,,x,x,,x,x,,,x,,,,,x,,,,,,,,,,,
Ruki,26,Ingende,"-0,309694","18,968538",,x,1,8,x,,x,x,,x,,,,,,x,,,x,,,,,,x,,,x,,,,,,,,,,,
Ruki,27,Ruki I,"-0,351948","19,011953",,,,3,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,,,,,
Momboyo,28,Boteka,"-0,395926","19,106072",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Momboyo,29,Bempumba,"-0,430004","19,161063",,,,7,x,x,,x,,,,,,,x,,,,x,,,,x,,,,,x,,,,,,,,,,,
Momboyo,30,Mbala,"-0,415957","19,31477",,,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momboyo,31,Lotumbe,"-0,467776","19,380323",,,,2,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momboyo,32,Ifulu,"-0,525343","19,425861",,,,6,x,,,,,,,x,,,,x,,,x,,,,x,,,,,x,,,,,,,,,,,
Momboyo,33,Boyela,"-0,604996","19,448024",,,,7,x,,,,,x,,x,x,,,,,,x,,,,,,,,,x,,,,,,,,x,,,
Momboyo,34,Lokondola,"-0,667824","19,483622",,,,13,x,x,,x,x,x,x,x,,x,,x,,x,x,,,x,,,,,,x,,,,,,,,,,,
Momboyo,35,Boloka,"-0,737729","19,583081",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Momboyo,36,Nkasa,"-0,781309","19,621333",,,,10,x,x,,x,x,x,x,,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,
Momboyo,36,Nkasa Elali,"-0,781309","19,621333",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momboyo,37,Bompoma,"-0,790041","19,395852",Pos?,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momboyo,37a,Imomo,"-0,918599","19,387474",Pos?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momboyo,38,Befili,"-0,98138","19,403911",Pos?,,,3,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,
Lokolo,39,Bomate,"-1,213735","19,755676",,,,4,x,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,
Lokolo,40,Lombe,"-1,232534","19,806854",,,,4,x,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Momoyo,41,Mpumo,"-0,81107","19,69613",,,,2,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
Momoyo,42,Momboyo II,"-0,804244","19,775471",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momoyo,43,Imbonga,"-0,821913","19,788493",,x,15,17,x,x,x,x,x,x,x,x,x,x,,x,x,,x,,,x,x,,,,,x,,,,,,,,x,,,
Momoyo,44,Bokolongo,"-0,747752","19,840031",Pos?,,,2,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momoyo,45,Ikindantoi,"-0,76816","19,834986",Pos?,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Momoyo,46,Lombo-Lombo,"-0,80477","19,815645",Pos?,,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momoyo,47,Bonkake,"-0,839629","19,846767",,x,1,11,x,x,,,x,x,,x,x,,,x,,,x,,,,x,,,,,x,,,,,,,,x,,,
Momoyo,48,Lusako,"-0,9227","19,963978",,,,7,x,x,,,,,x,x,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,
Momoyo,49,Bololo,"-1,008848","19,9601",,,,2,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momoyo,50,Boenjola-Ekendambolo,"-1,106327","19,960904",,,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momoyo,51,Waka,"-0,938947","20,190153",,,,2,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momoyo,52,Bonginji,"-0,991904","20,27573",,,,3,,,,,,,,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,
Momoyo,53,Itumbo,"-1,00433","20,293444",,,,5,,,,,,x,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,
Luilaka,54,Momboyo I,"-1,153119","20,31086",,,,3,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luilaka,55,Yete,"-1,175813","20,3401",,,,8,x,,,,,,x,x,,,,x,,,x,,,x,x,,,,,x,,,,,,,,,,,
Luilaka,56,Besau,"-1,236344","20,365413",,,,8,x,x,,,,,x,x,,,,x,,,x,,,x,,,,,,x,,,,,,,,,,,
Luilaka,57,Bampete,"-1,290138","20,371046",,,,3,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,
Luilaka,58,Wafanya,"-1,354817","20,378778",,x,3,10,x,,,,,x,,,,x,,x,x,x,x,,,x,,,,,,x,,,,,,,,x,,,
Luilaka,59,Monkoto,"-1,745558","20,684728",,,,6,,,,,,x,,,,,,x,,x,,,,x,,,,,,x,,,,,,,,x,,,
Luilaka,60,Bekongo,"-1,837602","20,770047",,,,4,,,,,,x,,,,,,,,x,,,,x,,,,,,x,,,,,,,,,,,
Luilaka,61,Boangi,"-1,914095","20,883252",,,,2,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,
Luilaka,62,Nkomasoni,"-1,991715","20,97292",,x,1,2,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,
Luilaka,63,Ikali,"-2,031199","21,041643",,,,1,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
Busira,64,Loolo,"-0,247287","19,180993",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Busira,65,Lingonda,"-0,213141","19,371382",,,,3,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,
Busira,66,Balolombo,"-0,265445","19,628423",,,,4,,,,,,,,,,,,,,,x,x,,,x,,,,,x,,,,,,,,,,,
Busira,67,Lisafa,"-0,258672","19,73618",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busira,68,Inyele,"-0,240968","19,752278",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Busira,69,Lotoko,"-0,291545","19,872066",,,,2,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,
Salonga/Momboyo,70,Nkuse,"-0,395383","20,011387",Pos?,,,7,x,,,x,,,,,x,,,x,,,x,x,,,,,,,,x,,,,,,,,,,,
Salonga/Momboyo,71,Bompoma,"-0,592796","19,785357",Pos?,,,2,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,
Momboyo,72,Lingonju,"-0,616938","19,802057",Pos?,,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momboyo,73,Bokala,"-0,56405","19,804452",Pos?,,,1,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momboyo,74,Bofomwa,"-0,530091","19,8389",Pos?,,,2,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Salonga,75,Eungu,"-0,489617","19,976601",Pos?,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Salonga,76,Eanja-Ilanga,"-0,563581","20,010076",Pos?,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Salonga,77,Eanja Isongo Besombo,"-0,624364","20,067869",Pos?,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Salonga,78,Enaja Bonanga Wa Liko,"-0,6498","20,086421",Pos?,,,2,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,
Salonga,79,Isaka-Nkundo,"-0,668736","20,172681",Pos?,,,6,x,,,,,x,,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,
Salonga,80,Isaka-Elinga,"-0,666969","20,202048",Pos?,,,6,x,,,,,x,,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,
Busira,81,Besongo,"-0,198392","19,980082",,,,12,x,x,,x,,,,x,x,x,,x,,,x,x,,,,,x,,,x,,,,,,,,x,,,
Busira,82,Monieka,"-0,211017","20,053766",,,,7,,,,,x,,,,x,,,x,,,x,x,,,x,,,,,x,,,,,,,,,,,
Busira,83,Bokote,"-0,214307","20,206142",,,,9,,,,,,,,,x,,,x,,,x,x,,,x,,x,,,x,x,,,,,,,,x,,
Busira,84,Inkaka,"-0,211041","20,263551",,,,11,,,,x,,,x,x,x,,,x,,,x,x,,,x,,x,,,x,x,,,,,,,,,,
Busira,85,Liyolongo,"-0,342695","20,323035",,,,8,,,,,,,,,,,,,,,x,x,,,x,,x,,,x,x,,,,,,,x,x,,
Busira,86,Nkoyakoli,"-0,365373","20,518223",,,,4,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,x,,,
Busira,87,Ikembeli,"-0,357317","20,577356",,,,7,,,,,,,,,,,,x,,,x,x,,,x,,x,,,x,x,,,,,,,,,,
Busira,88,Busira I,"-0,361049","20,612942",,,,1,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Busira,89,Ngombe-Malala,"-0,33177","20,643967",,,,4,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,x,,
Busira,90,Bosanga,"-0,367448","20,707786",,,,3,,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,,,,,
Busira,91,Bofoy Bokangansoso,"-0,349533","20,779496",,,,6,,,,,,,,,,,,,,,x,,x,,x,,x,,x,,,,x,,,,,,,,
Tshuapa,92,Ekoli-Bokungu,"-0,272912","20,863612",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Tshuapa,93,Boende,"-0,278183","20,878878",,,,9,,,,,,x,x,,x,,,x,,,x,,x,,x,,x,,x,,,,,,,,,,,,
Tshuapa,94,Ilemba,"-0,257459","21,091844",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,
Tshuapa,95,Balinga-Bokanda,"-0,305301","21,130587",,,,7,,,,,,,,,,,,,,,x,,x,,,,x,,x,,,,x,,x,,,,x,,
Tshuapa,96,Bolondo,"-0,305801","21,253168",,x,7,9,,,,,,,,,,,,,,,x,x,x,,x,,x,,x,,,,x,,x,,,,x,,
Tshuapa,97,Enaja,"-0,264402","21,248614",,,,4,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,
Tshuapa,98,Iyongo-Iyanko,"-0,311637","21,26231",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,
Tshuapa,99,Isambo-Elongo,"-0,365773","21,483199",,,,3,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,
Tshuapa,100,Esangaonje,"-0,442536","21,552149",,,,7,,,,,,,,,,,,,,,x,,x,,,,x,,x,,,,x,,x,,,,x,,
Tshuapa,101,Wema,"-0,479714","21,635839",,,,7,,,,,,,,,,,,x,,,x,,x,,,,,,x,,,,x,,,,,x,x,,
Tshuapa,102,Nkoma,"-0,511961","21,752442",,,,2,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,
Tshuapa,103,Balinga-Wema,"-0,527344","21,785084",,,,4,,,,,,,,,,,,,,,x,,x,,,,,,,,,,x,,,,,,x,,
Tshuapa,104,Ifomo,"-0,565797","21,885088",,,,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,
Tshuapa,105,Vieux-Wema,"-0,568587","21,919131",,,,6,,,,,,,,,,,,,,,x,,x,,,,x,,x,,,,x,,,,,,x,,
Tshuapa,106,Balombi,"-0,544281","22,010926",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,x,,
Tshuapa,107,Wete,"-0,598314","22,266458",,,,4,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,x,,,,,,,,
Tshuapa,108,Bokungu,"-0,616014","22,307464",,,,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,
Tshuapa,109,Bokungu Moke,"-0,61843","22,351465",,,,3,,,,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,
Tshuapa,110,Bokene-Itela,"-0,73396","22,534281",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Tshuapa,111,Bokene-Nongo,"-0,732934","22,563143",,,,5,,,,,,,,,,,,x,,,x,,,,,,,,x,,,,x,,,,,,x,,
Tshuapa,112,Bondombe-Etat,"-0,779686","22,754983",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,
Tshuapa,113,Bondombe-Protestant,"-0,785994","22,806301",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshuapa,114,Bokao,"-0,859054","22,88476",,,,3,,,,,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,,,,,
Tshuapa,115,Lolitama,"-1,008104","23,205936",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Tshuapa,116,Yalifita,"-1,034567","23,277436",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Tshuapa,117,Ikela,"-1,053764","23,358848",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshuapa,118,Lingomo,"-1,155073","23,540128",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Tshuapa,119,Ikomaloki,"-1,209968","23,767789",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Tshuapa,120,Boyombo,"-1,362244","23,935279",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshuapa,121,Bondo,"-1,349174","24,086096",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikelemba,122,Kwambili,"0,162385","18,348399",,,,5,x,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,x,,,
Ikelemba,123,Bondo,"0,238661","18,342447",,,,4,x,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,
Ikelemba,124,Malelembe,"0,248562","18,39671",,,,6,,,,,,,,,,,,x,,,x,x,,,x,,,x,,x,,,,,,,,,,,
Ikelemba,125,Monzambi,"0,303572","18,536353",,,,7,x,,,x,,,,,,,,,,,x,x,,,x,,,x,,x,,,,,,,,,,,
Ikelemba,126,Ibunga,"0,299271","18,568067",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ikelemba,127,Iteli,"0,311715","18,62434",,,,14,x,x,x,x,,,,x,x,,,x,x,,x,x,,,x,,,x,,x,,,,,,,,x,,,
Ikelemba,128,Nganda Ikelemba,"0,320764","18,778887",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ikelemba,129,Loomba,"0,332536","18,834717",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikelemba,130,Boyenge,"0,378587","18,878862",,,,8,,,,,,,,,x,,,x,x,,x,x,,,x,,,x,,x,,,,,,,,,,,
Ikelemba,131,Lokumo,"0,351338","19,041374",,,,5,,,,,,,,,,,,,x,,x,x,,,x,,,,,x,,,,,,,,,,,
Ikelemba,132,Bolomba,"0,349073","19,228241",,,,4,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,
Ikelemba,133,Monjo,"0,347772","19,269369",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Ikelemba,134,Ntomba,"0,407312","19,56405",,,,3,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,
Ikelemba,135,Bombimba,"0,429998","19,590063",,,,6,x,,,,x,,,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,
Ikelemba,136,Balangala,"0,4187","19,788663",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaïre,137,Isia,"0,263701","18,304065",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Zaïre,138,Mobele,"0,637147","18,383749",,,,2,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,
Lulonga,139,Bolongo,"0,773259","18,514476",,,,9,x,,,x,,,,x,x,,,x,,,,,,,,,,,,x,,x,,,,x,,x,,,
Lulonga,140,Ingonda Bosopela,"0,792926","18,549522",,,,6,x,,,x,,,,,,,,x,,,x,,,,,,,,,x,,,,,,x,,,,,
Lulonga,141,Mampoko,"0,864003","18,676144",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Lulonga,142,Bonginda I,"0,957267","18,754714",,,,4,,,,,,,,,,,,,,,x,,,,x,,,,,x,,x,,,,,,,,,
Lulonga,143,Ilebo,"0,982023","18,79488",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Lulonga,144,Inganda,"1,017651","18,854675",,,,2,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,
Lulonga,145,Nkole,"1,039209","18,861076",,,,2,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,
Lulonga,146,Boyeka,"1,040328","18,880184",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulonga,147,Losombo,"1,107802","19,093138",,,,6,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,x,,,
Lulonga,148,Boso-Njafo-Plantation,"1,148303","19,190256",,,,1,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lulonga,149,Boso-Njafo,"1,130547","19,209599",,x,3,5,x,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,x,,,
Lulonga,150,Boso-Njafo-Mission,"1,139743","19,261337",,,,2,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Lulonga,151,Bonkita,"1,269322","19,550204",,,,2,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Lulonga,152,Basankusu,"1,227045","19,802942",,,,4,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,
Maringa,153,Molanga,"1,142068","20,012349",,,,4,x,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,
Maringa,154,Botumbela,"1,149307","20,014264",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,155,Bonkelo,"1,09655","20,076949",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Maringa,156,Malanga,"1,017247","20,192645",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,157,Waka,"1,003458","20,211236",,,,1,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Maringa,158,Ipono,"1,024446","20,224122",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Maringa,159,Ikaala,"0,97518","20,338919",,,,2,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
Maringa,160,Bompanga,"0,915503","20,472303",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Maringa,161,Baringa,"0,729053","20,735732",,x,1,7,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,x,,x,x,,,x,
Maringa,162,Baulu,"0,554939","20,931003",,,,4,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,,,,
Maringa,163,Bompanga (Nganda),"0,459559","20,970916",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Maringa,164,Bekako,"0,299678","21,165035",,,,3,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,
Maringa,165,Likuku,"0,136734","21,301939",,,,4,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,x,
Maringa,166,Ngongo,"0,118084","21,385648",,,,2,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
Maringa,167,Tokoto,"0,116191","21,397032",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,168,Nguma,"0,108218","21,423514",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,169,Lifoso,"0,149225","21,537251",,,,3,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,
Maringa,170,Lokonge,"0,087605","21,831469",,,,7,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,x,,,x,x,
Maringa,171,Tofumbo,"0,050859","22,006525",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Maringa,172,Mpokioko,"0,078294","22,065166",,,,2,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,
Maringa,173,Lioko,"0,098642","22,10606",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Maringa,174,Befori,"0,165814","22,342902",,,,3,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,
Maringa,175,Yopoko,"0,169623","22,400989",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Lopori,176,Eleke,"1,281146","19,851123",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,176a,Libiya,"1,313028","20,153246",,,,4,,,,x,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,
Lopori,176b,Manjinji,"1,334905","20,233979",,,,1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Lopori,177,Isanjani,"1,31586","20,232569",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,178,Boyela,"1,331587","20,341824",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x
Lopori,179,Jombo-Etat,"1,34994","20,384859",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Lopori,180,Bosulu,"1,446656","20,650364",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Lopori,181,Mokonja,"1,483026","20,677667",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,182,Inkunji,"1,503697","20,959728",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Lopori,183,Bongandanga,"1,50712","21,072951",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Zaïre,184,Lisala,"2,150083","21,51668",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Zaïre,185,Nkomba,"2,174369","21,594268",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
