PG,PL,OBJ,SITE,FEATURE,OBJECT,STYLE,ShVesHPW,GefTyp,ShRimHPW,PL_muendD_mm,Pl_muendH_mm,Pl_minD_mm,Pl_minD_H_mm,Pl_maxD_mm,Pl_maxD_H_mm,Pl_BodenD_mm,Massstab5cm,NOTES
,7,1,IYO,81/1,,IMB,,,,,,,,,,,,
,7,2,IYO,81/1,,IMB,,,,,,,,,,,,
,7,3,IYO,81/1,,IMB,,,,,,,,,,,,
,7,4,IYO,81/1,,IMB,,,,,,,,,,,,
,7,5,IYO,81/1,,IMB,,,,,,,,,,,,
,7,6,IYO,81/1,,IMB,,,,,,,,,,,,
,7,7,IYO,81/1,,IMB,,,,,,,,,,,,
,7,8,IYO,81/1,,IMB,,,,,,,,,,,,
,8,1,IYO,81/1,,,,,,,,,,,,,,
,8,2,IYO,81/1,,IMB,,,,,,,,,,,,
,8,3,IYO,81/1,,LNG,,,,,,,,,,,,
,8,4,IYO,81/2,,BOT,,,,,,,,,,,,
,8,5,IYO,81/2,,MON,,,,,,,,,,,,
,8,6,IYO,81/2,,NKI,,,,,,,,,,,,
,8,7,IYO,81/2,,,,,,,,,,,,,,
,8,8,IYO,81/2,,BOT,,,,,,,,,,,,
,8,9,IYO,81/2,,,,,,,,,,,,,,
,8,10,IYO,81/2,,MON/BOK,,,,,,,,,,,,
,8,11,IYO,81/2,,MON/BOK,,,,,,,,,,,,
,8,12,IYO,81/2,,MON/BOK,,,,,,,,,,,,
,8,13,IYO,81/2,,,,,,,,,,,,,,
,9,1,MBA,81/1,-1,BDG,,,,,,,,,,,,
,9,2,MBA,81/2,-1,BOT,,,,,,,,,,,,
,9,3,MBA,81/2,/I-1,NKI,,,,,,,,,,,,
,9,4,MBA,81/2,/I-2,NKI,,,,,,,,,,,,
,9,5,MBA,81/2,/I-4,BOT/IKE,,,,,,,,,,,,
,9,6,MBA,81/2,/I-3,BDG,,,,,,,,,,,,
,9,7,MBA,81/2,,BDG,,,,,,,,,,,,
,9,8,MBA,81/2,/I-3,BDG,,,,,,,,,,,,
,9,9,MBA,81/2,,BDG,,,,,,,,,,,,
,9,10,MBA,81/2,/I-4,BDG,,,,,,,,,,,,
,9,11,MBA,81/2,,BDG,,,,,,,,,,,,
,9,12,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,9,13,MBA,81/2,,BDG,,,,,,,,,,,,
,9,14,MBA,81/2,,BDG,,,,,,,,,,,,
,9,15,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,9,16,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,9,17,MBA,81/2,-6,BDG,,,,,,,,,,,,
,10,1,MBA,81/2,,BDG,,,,,,,,,,,,
,10,2,MBA,81/2,-2,BDG,,,,,,,,,,,,
,10,3,MBA,81/2,,BDG,,,,,,,,,,,,
,10,4,MBA,81/2,-3+4,BDG/MBA,,,,,,,,,,,,
,10,5,MBA,81/2,,BDG,,,,,,,,,,,,
,10,6,MBA,81/2,-5,BDG,,,,,,,,,,,,
,10,7,MBA,81/2,,BDG,,,,,,,,,,,,
,10,8,MBA,81/2,/I-1,,,,,,,,,,,,,
,10,9,MBA,81/2,-5+6,BDG,,,,,,,,,,,,
,10,10,MBA,81/2,/I-3,BDG,,,,,,,,,,,,
,10,11,MBA,81/2,,BDG,,,,,,,,,,,,
,10,12,MBA,81/2,/I-6,BDG,,,,,,,,,,,,
,10,13,MBA,81/2,/I-5,BDG,,,,,,,,,,,,
,10,14,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,10,15,MBA,81/2,-6,BDG,,,,,,,,,,,,
,10,16,MBA,81/2,-5,BDG,,,,,,,,,,,,
,10,17,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,10,18,MBA,81/2,/I-7,BDG,,,,,,,,,,,,
,11,1,MBA,81/2,-5,BDG,,,,,,,,,,,,
,11,2,MBA,81/2,/I-5,BDG,,,,,,,,,,,,
,11,3,MBA,81/2,/I,BDG/MBA,,,,,,,,,,,,
,11,4,MBA,81/2,-5+6,BDG,,,,,,,,,,,,
,11,5,MBA,81/2,,BDG,,,,,,,,,,,,
,11,6,MBA,81/2,/I-2,BDG/MBA,,,,,,,,,,,,
,11,7,MBA,81/2,,BDG,,,,,,,,,,,,
,11,8,MBA,81/2,,,,,,,,,,,,,,
,11,9,MBA,81/2,/I-7,BDG/MBA,,,,,,,,,,,,
,11,10,MBA,81/2,/I-2,,,,,,,,,,,,,
,11,11,MBA,81/2,,BDG/MBA,,,,,,,,,,,,
,11,12,MBA,81/2,/I-2,,,,,,,,,,,,,
,11,13,MBA,81/2,/I-7,,,,,,,,,,,,,
,11,14,MBA,81/2,-4,,,,,,,,,,,,,
,12,1,MBA,81/2,-6,MBA,,,,,,,,,,,,
,12,2,MBA,81/2,/I-7,MBA,,,,,,,,,,,,
,12,3,MBA,81/2,-5,MBA,,,,,,,,,,,,
,12,4,MBA,81/2,,MBA,,,,,,,,,,,,
,12,5,MBA,81/2,,MBA,,,,,,,,,,,,
,12,6,MBA,81/2,,MBA,,,,,,,,,,,,
,12,7,MBA,81/2,-2+3+6,MBA,,,,,,,,,,,,
,12,8,MBA,81/2,-2,MBA,,,,,,,,,,,,
,12,9,MBA,81/2,-3,MBA,,,,,,,,,,,,
,12,10,MBA,81/2,-6,MBA,,,,,,,,,,,,
,12,11,MBA,81/2,/I,MBA,,,,,,,,,,,,
,13,1,MBA,81/2,/I-7,MBA,,,,,,,,,,,,
,13,2,MBA,81/2,,MBA,,,,,,,,,,,,
,13,3,MBA,81/2,,MBA,,,,,,,,,,,,
,13,4,MBA,81/2,/I-7,MBA,,,,,,,,,,,,
,13,5,MBA,81/2,/I-7,MBA,,,,,,,,,,,,
,14,1,MBA,81/3,-4,BOT,,,,,,,,,,,,
,14,2,MBA,81/3,-3,BOT,,,,,,,,,,,,
,14,3,MBA,81/3,-2,BDG,,,,,,,,,,,,
,14,4,MBA,81/3,-1,BDG,,,,,,,,,,,,
,14,5,Bikoro,,,Inganda,,,,,,,,,,,,
,14,6,MBA,,,Inganda,,,,,,,,,,,,
,14,7,Inganda,,,Inganda,,,,,,,,,,,,
,14,8,MBA,,,LOK,,,,,,,,,,,,
,14,9,MBA,,,LON,,,,,,,,,,,,
,14,10,Irebu,,,LON,,,,,,,,,,,,
,15,1,MBA,,,BDG,,,,,,,,,,,,
,15,2,MBA,,,BDG,,,,,,,,,,,,
,15,3,MBA,,,BDG,,,,,,,,,,,,
,15,4,MBA,,,BDG,,,,,,,,,,,,
,15,5,MBA,,,BDG,,,,,,,,,,,,
,15,6,IYO,,,BOT,,,,,,,,,,,,
,15,7,MBA,,,MBA,,,,,,,,,,,,
,15,8,MBA,,,BOT,,,,,,,,,,,,
,15,9,MBA,,,,,,,,,,,,,,,
,15,10,MBA,,,Uele-Import,,,,,,,,,,,,
,16,1,BAM,81/1,,NKI/BOT,,,,,,,,,,,,
,16,2,BAM,81/1,,BDG,,,,,,,,,,,,
,16,3,BAM,81/1,,NKI/BOT,,,,,,,,,,,,
,16,4,BAM,81/1,,BDG,,,,,,,,,,,,
,16,5,BAM,81/2,,BOT,,,,,,,,,,,,
,16,6,BAM,83/1,,NKI,,,,,,,,,,,,
,16,7,BAM,83/1,,NKI,,,,,,,,,,,,
,16,8,BAM,83/1,,NKI,,,,,,,,,,,,
,16,9,BAM,83/1,,BDG,,,,,,,,,,,,
,16,10,BAM,83/1,,BDG,,,,,,,,,,,,
,16,11,BAM,83/1,,BDG,,,,,,,,,,,,
,17,1,BAM,83/1,,BDG,,,,,,,,,,,,
,17,2,BAM,83/1,,BDG,,,,,,,,,,,,
,17,3,BAM,83/1,,BDG,,,,,,,,,,,,
,17,4,BAM,83/1,,BDG,,,,,,,,,,,,
,17,5,BAM,83/1,,BDG,,,,,,,,,,,,
,18,1,BAM,83/2,,NKI,,,,,,,,,,,,
,18,2,BAM,83/2,,NKI,,,,,,,,,,,,
,18,3,BAM,83/2,,NKI,,,,,,,,,,,,
,18,4,BKE,81/1,,IMB,,,,,,,,,,,,
,18,5,BKE,81/1,,IMB,,,,,,,,,,,,
,18,6,BKE,81/1,,IMB,,,,,,,,,,,,
,18,7,BKE,81/1,,IMB,,,,,,,,,,,,
,18,8,BKE,81/1,,IMB,,,,,,,,,,,,
,18,9,BKE,81/1,,IMB,,,,,,,,,,,,
,18,10,BKE,81/1,,IMB,,,,,,,,,,,,
,18,11,BKE,81/1,,IMB,,,,,,,,,,,,
,18,12,BKE,81/1,,IMB,,,,,,,,,,,,
,18,13,BKE,81/1,,IMB,,,,,,,,,,,,
,18,14,BKE,81/1,,IMB,,,,,,,,,,,,
,18,15,BKE,81/1,,IMB,,,,,,,,,,,,
,18,16,BKE,81/1,,IMB,,,,,,,,,,,,
,18,17,BKE,81/1,,IMB,,,,,,,,,,,,
,18,18,BKE,81/1,,IMB,,,,,,,,,,,,
,18,19,BKE,81/1,,IMB,,,,,,,,,,,,
,18,20,BKE,81/1,,IMB,,,,,,,,,,,,
,18,21,BKE,81/1,,IMB,,,,,,,,,,,,
,18,22,BKE,81/1,,IMB,,,,,,,,,,,,
,19,1,BKE,81/1,,IMB,,,,,,,,,,,,
,19,2,BKE,81/1,,IMB,,,,,,,,,,,,
,19,3,BKE,81/1,,IMB,,,,,,,,,,,,
,19,4,BKE,81/1,,IMB,,,,,,,,,,,,
,19,5,BKE,81/1,,IMB,,,,,,,,,,,,
,19,6,BKE,81/1,,IMB,,,,,,,,,,,,
,19,7,BKE,81/1,,IMB,,,,,,,,,,,,
,19,8,BKE,81/1,,IMB,,,,,,,,,,,,
,19,9,BKE,81/1,,IMB,,,,,,,,,,,,
,19,10,BKE,81/1,,IMB,,,,,,,,,,,,
,20,1,BKE,81/2,/I,BKE,,,,,,,,,,,,
,20,2,BKE,81/2,/II,Lingonda,,,,,,,,,,,,
,20,3,BKE,81/2,/II,BOK/Lindonga,,,,,,,,,,,,
,20,4,BKE,81/2,/II,BKE,,,,,,,,,,,,
,20,5,BKE,81/2,/II,BKE,,,,,,,,,,,,
,20,6,BKE,81/2,/II,BKE,,,,,,,,,,,,
,20,7,BKE,81/2,/II,BKE,,,,,,,,,,,,
455,21,1,BKE,81/3,-2,LON,,,,,,,,,,,,
455,21,2,BKE,81/3,-1,LON,,F4,,,50,,,"61,5",,0,"20,5",Höhe geschätzt
455,21,3,BKE,81/3,-1,LON,,,,,,,,,,,,
455,21,4,BKE,81/3,-1,LON,,,,,,,,,,,,
455,21,5,BKE,81/3,-1,LON,,,,,,,,,,,,
455,21,6,BKE,81/3,-1,Lokondola,,,,,,,,,,,,
455,21,7,BKE,81/3,-1,Lingonda,,,,,,,,,,,,
455,21,8,BKE,81/3,-1,Lingonda,,,,,,,,,,,,
455,21,9,BKE,81/3,-1,Lingonda,,,,,,,,,,,,
,22,1,BKE,81/4,,LON,,,,,,,,,,,,
,22,2,BKE,81/4,,LON,,,,,,,,,,,,
,22,3,BKE,81/4,,LON,,,,,,,,,,,,
,22,4,BKE,81/4,,LON,,,,,,,,,,,,
,22,5,BKE,81/4,,LON,,,,,,,,,,,,
,22,6,BKE,81/4,,LON,,,,,,,,,,,,
,22,7,BKE,81/4,,LON,,,,,,,,,,,,
,22,8,BKE,81/4,,LON,,,,,,,,,,,,
,22,9,BKE,81/4,,LON,,,,,,,,,,,,
,22,10,BKE,81/4,,LON,,,,,,,,,,,,
,22,11,BKE,81/4,,LON,,,,,,,,,,,,
,22,12,BKE,81/4,,LON,,,,,,,,,,,,
,22,13,BKE,81/4,,LON,,,,,,,,,,,,
,22,14,BKE,81/4,,LON,,,,,,,,,,,,
,23,1,BKE,81/4,,LON,,,,,,,,,,,,
,23,2,BKE,81/4,,LON,,,,,,,,,,,,
,23,3,BKE,81/4,,LON/BDG,,,,,,,,,,,,
,23,4,BKE,81/4,,LON,,,,,,,,,,,,
,23,5,BKE,81/4,,LON,,,,,,,,,,,,
,23,6,BKE,81/4,,LON,,,,,,,,,,,,
,23,7,BKE,81/4,,MBA,,,,,,,,,,,,
,23,8,BKE,81/4,,MBA,,,,,,,,,,,,
,23,9,BKE,81/4,,,,,,,,,,,,,,
,23,10,BKE,81/4,,MBA,,,,,,,,,,,,
,23,11,BKE,81/4,,Lingonda,,,,,,,,,,,,
,23,12,BKE,81/4,,BOK,,,,,,,,,,,,
,23,13,BKE,81/4,,MBA,,,,,,,,,,,,
,23,14,BKE,81/4,,,,,,,,,,,,,,
,24,1,NKI,1,0,BOT,,,,,,,,,,,,
,24,2,NKI,1,/IV-1,BOT,,,,,,,,,,,,
,24,3,NKI,1,/IV-1,BOT,,,,,,,,,,,,
,24,4,NKI,1,/IV-2-(4),BOT,,,,,,,,,,,,
,24,5,NKI,1,/III-1+IV-1,BOT,,,,,,,,,,,,
,24,6,NKI,1,/IV-3,BOT,,,,,,,,,,,,
,24,7,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,24,8,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,24,9,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,24,10,NKI,1,/IV-3,NKI,,,,,,,,,,,,
,24,11,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,24,12,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,24,13,NKI,1,/II-2,NKI,,,,,,,,,,,,
,24,14,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,25,1,NKI,1,/IV-2+(4)+3,NKI,,,,,,,,,,,,
,25,2,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,25,3,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,4,NKI,1,/IV-2-(4),NKI,,,,,,,,,,,,
,25,5,NKI,1,-2-(4),NKI,,,,,,,,,,,,
,25,6,NKI,1,/IV-2-(4),NKI,,,,,,,,,,,,
,25,7,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,8,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,9,NKI,1,/IV-4,NKI,,,,,,,,,,,,
,25,10,NKI,1,-2-(4),NKI,,,,,,,,,,,,
