TAF,OBJ,SITE,FEAT,NOTE,IND
48,21,PIK,87/2,,-4:152
48,22,PIK,87/2,,-2:198
48,23,PIK,87/2,,-1:41
48,24,PIK,87/2,,"-1:252, 272"
48,25,PIK,87/2,,-4:73
48,26,PIK,87/2,,-4:152
48,27,PIK,87/2,,-3:74
49,1,PIK,87/2,,-1:270
49,2,PIK,87/2,,-5:117
49,3,PIK,87/2,,-1:280
49,4,PIK,87/2,,-2:191
49,13,PIK,87/2,,-5:2
49,5,PIK,87/2,,-6:52
49,8,PIK,87/2,,-1:20
49,7,PIK,87/2,,-4:153
49,10,PIK,87/2,,-1:40
49,6,PIK,87/2,,-5:1
49,12,PIK,87/2,,-1:247
49,14,PIK,87/2,,-1:5
49,15,PIK,87/2,,-1:235
49,9,PIK,87/2,,-4:131
49,11,PIK,87/2,,-1:315
49,16,PIK,87/3,,/I:1-2
49,17,PIK,87/3,,-X:2
49,18,PIK,87/3,,-X:22
50,1,PIK,87/101,,58
50,2,PIK,87/101,,39
50,3,PIK,87/101,,1
50,4,PIK,87/101,,182
50,5,PIK,87/101,,64
50,6,PIK,87/101,,40
50,7,PIK,87/101,,"15, 42"
50,8,PIK,87/101,,282
50,9,PIK,87/101,,"44, 49, 53"
50,10,PIK,87/101,,41
51,1,PIK,87/101,,"135, 186"
51,2,PIK,87/101,,45
51,3,PIK,87/101,,107
51,4,PIK,87/101,,206
51,5,PIK,87/101,,10
51,6,PIK,87/101,,52
51,7,PIK,87/101,,161
51,8,PIK,87/101,,125
51,9,PIK,87/101,,"115, 194"
51,10,PIK,87/101,,288
51,11,PIK,87/101,,51
51,12,PIK,87/101,,271
51,13,PIK,87/101,,50
52,1,PIK,87/101,,82
52,2,PIK,87/101,,237
52,3,PIK,87/101,,230
52,4,PIK,87/101,,278
52,5,PIK,87/101,,224
52,6,PIK,87/101,,47
52,7,PIK,87/101,,195
52,8,PIK,87/101,,78
52,9,PIK,87/101,,154
52,10,PIK,87/101,,214
52,11,PIK,87/101,,225
52,12,PIK,87/101,,226
52,13,PIK,87/101,,137
52,14,PIK,87/101,,166
52,15,PIK,87/101,,187
52,16,PIK,87/101,,217
52,17,PIK,87/101,,31
52,18,PIK,87/101,,153
52,19,PIK,87/101,,65
52,20,PIK,87/101,,16
52,21,PIK,87/101,,72
52,22,PIK,87/101,,275
53,1,PIK,87/101,,122
53,2,PIK,87/101,,73
53,3,PIK,87/101,,9
53,4,PIK,87/101,,86
53,5,PIK,87/101,,178
53,6,PIK,87/101,,114
53,7,PIK,87/101,,241
53,8,PIK,87/101,,7
53,11,PIK,87/101,,132
53,10,PIK,87/101,,296
53,9,PIK,87/101,,284
53,12,PIK,87/101,,189
53,13,PIK,87/101,,243
54,1,PIK,87/101,,38
54,2,PIK,87/101,,98
54,3,PIK,87/101,,"177, 292"
54,4,PIK,87/101,,70
54,5,PIK,87/101,,"80, 266"
54,6,PIK,87/101,,23
54,7,PIK,87/101,,"43, 46"
54,8,PIK,87/101,,"117, 120"
54,9,PIK,87/101,,"160, 265, 280"
54,10,PIK,87/101,,268
54,11,PIK,87/101,,79
54,12,PIK,87/101,,91
54,13,PIK,87/101,,141
54,14,PIK,87/101,,111
54,15,PIK,87/101,,87
54,16,PIK,87/101,,"17, 129"
55,1,PIK,87/101,,19
55,2,PIK,87/101,,168
55,3,PIK,87/101,,298
55,4,PIK,87/101,,26
55,5,PIK,87/101,,"236, 245"
55,6,PIK,87/101,,140
55,7,PIK,87/101,,103
55,8,PIK,87/101,,156
55,9,PIK,87/101,,12
55,10,PIK,87/101,,6
55,11,PIK,87/101,,"8, 24"
55,12,PIK,87/101,,197
55,13,PIK,87/101,,28
55,14,PIK,87/101,,13
55,15,PIK,87/101,,60
55,16,PIK,87/101,,32
56,1,PIK,87/101,,113
56,2,PIK,87/101,,220
56,3,PIK,87/101,,261
56,4,PIK,87/101,,254
56,5,PIK,87/101,,300
56,6,PIK,87/101,,20
56,7,PIK,87/101,,272
56,8,PIK,87/101,,"115, 194"
56,11,PIK,87/101,,5
56,12,PIK,87/101,,94-96
56,13,PIK,87/101,,209
56,9,PIK,87/101,,2
56,14,PIK,87/101,,27
56,10,PIK,87/101,,213
56,15,PIK,87/102,,
57,1,MLD,87/101,,11
57,2,MLD,87/101,,37
57,3,MLD,87/101,29,"14, 29, 84, 123"
57,4,MLD,87/101,,23
57,5,MLD,87/101,188,"3, 18, 30, 33, 96, 105, 111, 188"
57,6,MLD,87/101,,57
57,8,MLD,87/103,,"6, 39"
57,9,MLD,87/103,,9
57,7,MLD,87/103,,31
57,10,MDB,87/101,,50
57,11,MDB,87/101,,140
57,12,MDB,87/101,,103
57,13,MDB,87/101,,142
57,14,MDB,87/101,,171
57,15,MDB,87/101,,138
57,16,MDB,87/101,,167
57,17,MDB,87/101,,164
57,18,MDB,87/101,,144
57,19,MDB,87/101,,38
57,20,MDB,87/101,,179
57,21,MDB,87/101,,174
57,22,MDB,87/101,,14
57,23,MDB,87/101,,35
57,24,MDB,87/101,,91
57,25,MDB,87/101,,61
58,1,MDB,87/101,,149
58,2,MDB,87/101,,108
58,3,MDB,87/101,,154
58,4,MDB,87/101,,194
58,5,MDB,87/101,,150
58,6,MDB,87/101,,116
58,7,MDB,87/101,,172
58,8,MDB,87/101,,180
58,9,MDB,87/101,,115
58,10,MDB,87/101,,69
58,11,IKM,87/101,,29
58,12,IKM,87/101,,15
58,13,IKM,87/101,,14
58,14,IKM,87/101,,1
58,15,IKM,87/101,,5
58,16,IKM,87/101,,8
58,17,IKM,87/101,,77
58,18,IKM,87/101,,41
58,19,IKM,87/101,,13
58,20,IKM,87/101,,61
58,21,IKM,87/101,,42
58,22,IKM,87/101,,43
58,23,IKM,87/101,,64
58,24,IKM,87/101,,40
58,25,IKM,87/101,,32
59,1,IKM,87/101,,4
59,2,IKM,87/101,,2
59,3,IKM,87/101,,21
59,4,IKM,87/101,,24
59,5,IKM,87/101,,12
59,6,IKM,87/101,,18
59,7,IKM,87/101,,"7, 17"
59,8,IKM,87/101,,27
59,9,IKM,87/101,26,"26, 28"
59,10,IKM,87/101,28,"26, 28"
59,11,IKM,87/101,,19
59,12,IKM,87/101,,34
59,13,IKM,87/101,,20
59,14,IKM,87/101,,31
59,15,IKM,87/101,,33
59,16,IKM,87/101,44,"44, 46, 57"
59,17,IKM,87/101,45,"45, 49, 53"
59,18,IKM,87/101,,47
59,19,IKM,87/101,59,"51, 59, 63"
59,20,IKM,87/101,,54
59,21,IKM,87/101,53,"45, 49, 53"
59,22,IKM,87/101,,57
59,23,IKM,87/101,51,"51, 59, 63"
59,24,IKM,87/101,49,"45, 49, 53"
59,25,MOS,87/101,,2
59,26,MAT,87/101,,10
59,27,MAT,87/101,,4
59,28,MAT,87/101,,6
59,29,MAT,87/101,,7
59,30,MAT,87/101,,2
59,31,MAT,87/101,,5
60,1,MAT,87/101,,9
60,2,MAT,87/101,13,"13, 16, 35, 49"
60,3,MAT,87/101,,19
60,4,MAT,87/101,,18
60,5,MAT,87/101,,1
60,6,MAT,87/101,17,"15, 17"
60,7,MAT,87/101,,12
60,8,MAT,87/101,,11
60,9,MAT,87/101,,44
60,10,MAT,87/101,,43
60,11,MAT,87/101,,36
60,12,MAT,87/101,,32
60,13,MAT,87/101,,"37, 40, 43"
60,14,MAT,87/101,,28
60,15,MAT,87/101,,29
60,16,MAT,87/101,,21
60,17,MAT,87/101,,48
60,18,MAT,87/101,,20
60,19,MAB,87/101,,23
60,20,MAB,87/101,,19
60,21,MAB,87/101,,5
60,22,MAB,87/101,,6
60,23,MAB,87/101,,2
60,24,MAB,87/101,,1
60,25,MAB,87/101,,20
61,1,KON,87/101,,53
61,2,KON,87/101,,"1, 2"
61,3,KON,87/101,,11
61,4,KON,87/101,,"3,19"
61,5,KON,87/101,,4
61,6,KON,87/101,25,"6,25,27"
61,7,KON,87/101,,39
61,8,KON,87/101,,43
61,9,KON,87/101,,17
61,10,KON,87/101,,15
61,11,KON,87/101,,12
61,12,KON,87/101,,"7,31"
61,13,KON,87/101,,"10,13"
61,14,KON,87/101,,8
61,15,KON,87/101,,41
61,16,LMS,87/101,,32
61,17,LMS,87/101,,9
62,1,LMS,87/101,,33
62,2,MPB,87/101,,3
62,3,MPB,87/101,,2
62,4,MPB,87/101,,31
62,5,MPB,87/101,,30
62,6,MPB,87/102,,1
62,7,MPB,87/102,,3
62,8,MPB,87/102,,"4-5, 7"
62,9,MPB,87/102,,2
62,10,MPB,87/103,,1
62,11,MPB,87/103,,4
62,12,MPB,87/103,,2
62,13,MPB,87/103,,3
62,14,MPB,87/103,,7
62,15,BDA,87/101,,33
62,16,BDA,87/101,,30
63,1,SAK,87/101,,"1, 6"
63,2,SAK,87/101,,2
63,3,SAK,87/101,,3
63,4,SAK,87/101,,4
63,5,SAK,87/101,,5
63,6,PDM,87/101,,125
63,7,PDM,87/101,,123
63,8,PDM,87/101,,70
63,9,PDM,87/101,,"51, 74"
63,10,PDM,87/101,,163
63,11,PDM,87/101,,33
63,12,PDM,87/101,,116
63,13,PDM,87/101,,19
63,14,PDM,87/101,,124
63,15,PDM,87/101,,120
63,16,PDM,87/101,,107
63,17,PDM,87/101,,39
63,18,PDM,87/101,,115
63,19,PDM,87/101,,106
63,20,PDM,87/101,,105
64,1,PDM,87/101,,84
64,2,PDM,87/101,,20
64,3,PDM,87/101,,2
64,4,PDM,87/101,,62
64,5,PDM,87/101,,7
64,6,PDM,87/101,,"54, 83"
64,7,PDM,87/101,,18
64,8,PDM,87/101,,12
64,9,PDM,87/101,,4
64,10,PDM,87/101,,117
64,11,PDM,87/101,,89
64,12,PDM,87/101,,99
64,13,PDM,87/101,,67
64,14,PDM,87/101,,61
64,15,PDM,87/101,,21
65,1,PDM,87/101,,140
65,2,PDM,87/101,,130
65,3,PDM,87/101,,121
65,4,PDM,87/101,,44
65,5,PDM,87/101,,128
65,6,PDM,87/101,,139
65,7,PDM,87/101,,42
65,8,PDM,87/101,,103
65,9,PDM,87/101,,101
65,10,PDM,87/101,,104
65,11,PDM,87/102,,14
65,12,PDM,87/102,,"3, 12, 30"
66,1,PDM,87/102,,8
66,2,PDM,87/102,,15
66,3,PDM,87/102,,13
66,4,PDM,87/102,,5
66,5,PDM,87/102,,18
66,6,PDM,87/102,,6
66,7,PDM,87/102,,19
66,8,PDM,87/102,,2
66,9,MBJ,87/101,,18
66,10,MBJ,87/101,,19
66,11,MBJ,87/101,,43
66,12,MBJ,87/101,,24
66,13,MBJ,87/101,,23
66,14,MBJ,87/101,,20
66,15,MBJ,87/101,,27
66,16,NGA,87/101,,47
66,17,NGA,87/101,,5
66,18,NGA,87/101,,"2, 20"
66,19,NGA,87/101,,4
66,20,NGA,87/101,,3
67,1,NGA,87/101,,26
67,2,NGA,87/101,,23
67,3,NGA,87/101,,24
67,4,NGA,87/101,,19
67,5,NGA,87/101,,9
67,6,NGA,87/101,,8
67,7,NGA,87/101,,13
67,8,NGA,87/101,,10
67,9,NGA,87/101,31,"23, 31, 33"
67,10,NGA,87/101,,16
67,11,NGA,87/101,12,"11, 12, ?"
67,12,NGA,87/101,33,"23, 31, 33"
67,13,NGA,87/101,,1
67,14,NGA,87/101,,15
67,15,NGA,87/101,,14
67,16,NGA,87/101,,28
67,17,NGA,87/101,,6
67,18,NGA,87/101,30,"27, 29, 30"
67,19,NGA,87/101,32,"18, 32"
67,20,NGA,87/101,27,"27, 29, 30"
67,21,NGA,87/101,,34
67,22,NGA,87/101,,22
67,23,NGA,87/101,,46
68,1,NGL,87/101,,34
68,2,BYN,87/101,,9
68,3,BYN,87/101,,10
68,4,BLK,87/1,GE 3,2
68,5,BLK,87/1,GE 4,"-1:4, -2:4"
69,1,BLK,87/1,GE 2,"2, -1:2"
69,2,BLK,87/1,GE 5,"3, -1-3-1:3"
69,3,BLK,87/1,GE 1,-1:1 -2:1
69,4,BLK,87/1,GE 6,"-1,2:2"
69,5,BLK,87/101,XXX,44
69,6,BLK,87/101,,70
69,7,BLK,87/101,,75
69,8,BLK,87/101,,85
70,1,BLK,87/101,,89
70,2,BLK,87/101,,13a
70,3,BLK,87/101,,15
70,4,BLK,87/101,,24
70,5,BLK,87/501,,1
71,1,BTW,87/101,,5
71,2,BTW,87/101,,45
71,3,BTW,87/101,,18
71,4,BTW,87/101,,43
72,1,ILL,87/101,,1
72,2,MIS,87/101,,36
72,3,MIS,87/101,,1
72,4,MIS,87/101,,10
72,5,MIS,87/101,,3
72,6,MIS,87/101,,31
72,7,MIS,87/101,,49
72,8,MIS,87/101,,56
73,1,YUM,87/101,,48
73,2,YUM,87/102,,"14,16"
73,3,YUM,87/102,,6
73,4,YUM,87/102,,3
73,5,YUM,87/102,,11
73,6,YUM,87/102,,1
73,7,YUM,87/102,,"10, 12"
73,8,YUM,87/102,,2
73,9,YUM,87/102,,9
73,10,YUM,87/102,,18
73,11,YUM,87/102,,22
74,1,YUM,87/102,,24
74,2,YUM,87/102,,26
74,3,YUM,87/103,27,"10, 27, 29"
74,4,YUM,87/103,,37
74,5,YUM,87/103,,6
74,6,YUM,87/103,,25
74,7,YUM,87/103,,2
74,8,YUM,87/103,,5
74,9,YUM,87/103,,7
75,1,YUM,87/103,,31
75,2,YUM,87/103,,32
75,3,YUM,87/103,,38
75,4,YUM,87/103,,4
75,5,YUM,87/103,,8
75,6,YUM,87/103,,17-18
75,7,YUM,87/103,,"12, 16"
75,8,YUM,87/103,,39
76,1,LKW 186,87/186,,"-1:3,13"
76,2,LKW 186,87/186,,-1:1
76,3,LKW 186,87/186,,"-1:2,5"
76,4,LKW 186,87/186,,2
76,5,LKW 186,87/186,,3
76,6,LKW 186,87/186,,1
76,7,LKW 186,87/186,,7
76,8,LKW 186,87/186,,4
76,9,LKW 186,87/186,,-1:4
76,10,LKW 186,87/186,,-1:7
76,11,LKW 186,87/186,,-1:6
76,12,BJJ,87/101,,14
76,14,BJJ,87/101,,13
76,13,BJJ,87/101,,29
76,15,BJJ,87/101,,31
76,16,BJJ,87/101,,26
77,1,BJJ,87/101,,22
77,8,BJJ,87/101,,55
77,2,BJJ,87/101,,15
77,10,BJJ,87/101,,3
77,3,BJJ,87/101,,24
77,4,BJJ,87/101,,34
77,5,BJJ,87/101,,25
77,6,BJJ,87/101,,9
77,7,BJJ,87/101,,20
77,9,BJJ,87/101,,37
77,11,BJJ,87/101,,12
77,12,BJJ,87/101,,33
77,13,BJJ,87/101,,21
77,14,BJJ,87/101,,41
78,1,BJJ,87/101,,19
78,2,BJJ,87/101,,32
78,3,BJJ,87/101,,5
78,4,BJJ,87/101,,53
78,5,BJJ,87/101,,35
78,6,BJJ,87/101,,23
78,7,BJJ,87/101,,10
78,12,BJJ,87/101,,87
78,8,BJJ,87/101,,38
78,9,BJJ,87/101,,36b
78,10,BJJ,87/101,,11
78,11,BJJ,87/101,,46
78,13,BJJ,87/101,,80
79,1,BJJ,87/101,,83
79,2,BJJ,87/101,,88
79,3,BJJ,87/101,,89
79,4,BKA,87/101,,4
79,5,MSN,87/101,,6
79,6,MSN,87/101,,88
79,7,MSN,87/101,,11
79,8,MSN,87/101,,"1, 63, 99"
79,9,MSN,87/101,,28
79,10,MSN,87/101,,4
80,1,MSN,87/101,,"27, 39, 42"
80,2,MSN,87/101,,13
80,3,MSN,87/101,,30
80,4,MSN,87/101,,2
80,5,MSN,87/101,,91
80,6,MSN,87/101,,3
80,7,MSN,87/101,,"87, 98"
80,8,MSN,87/101,,86
80,9,MSN,87/101,,145
81,1,EBA,87/101,,130
81,2,EBA,87/101,,18
81,3,EBA,87/101,,154
81,4,EBA,87/101,,9
81,5,EBA,87/101,,155
81,6,EBA,87/101,,20
81,7,EBA,87/101,,168
81,8,EBA,87/101,,184
81,9,EBA,87/101,,"12, 202, 277"
81,10,EBA,87/101,,176
81,11,EBA,87/101,,"10, 21"
81,12,EBA,87/101,,162
81,13,EBA,87/101,,"13, 82"
81,14,EBA,87/101,,175
81,15,EBA,87/101,,"2, 46"
81,16,EBA,87/101,,31
81,17,EBA,87/101,,"149, 200"
81,18,EBA,87/101,,152
82,1,EBA,87/101,,173
82,2,EBA,87/101,,178
82,3,EBA,87/101,,158
82,4,EBA,87/101,,"143, 199, 233"
82,5,EBA,87/101,,157
82,6,EBA,87/101,,8
82,7,EBA,87/101,,29
82,8,EBA,87/101,,188
82,9,EBA,87/101,,111
82,10,EBA,87/101,,"72, 99"
82,11,EBA,87/101,,11
82,12,EBA,87/101,,"35,45"
83,1,EBA,87/101,,7
83,2,EBA,87/101,273a,273
83,3,EBA,87/101,,33
83,4,EBA,87/101,,17
83,5,EBA,87/101,,133
83,6,EBA,87/101,,131
83,7,EBA,87/101,,3
83,8,EBA,87/101,,153
83,9,EBA,87/101,,164
83,10,EBA,87/101,,"35,45"
83,11,EBA,87/101,,14
83,12,EBA,87/101,,232
83,13,EBA,87/101,,260
83,14,EBA,87/101,,6
83,15,EBA,87/101,,247
84,1,BWA,87/102,,11
84,2,MSG,87/101,,121
84,3,MSG,87/101,,18
84,4,MSG,87/101,,2
84,5,MSG,87/101,,49
84,6,MSG,87/101,,188
84,7,MSG,87/101,,187
84,8,MSG,87/101,,102
85,1,MSG,87/101,,186
85,2,MSG,87/101,,184
85,3,MSG,87/101,,94
85,4,MSG,87/102,,1
85,5,MSG,87/102,,2
85,6,MSG,87/102,,8
85,7,MSG,87/102,,11
85,8,MSG,87/102,,10
86,1,MSG,87/102,,12
86,2,MSG,87/102,,9
86,3,LKN,87/101,,24
86,4,LKN,87/101,,3
86,5,LKN,87/101,,37
86,6,LKN,87/101,,36
87,1,LKN,87/101,,34
87,2,LKN,87/101,,35
87,3,LKW 401,87/401,,1
87,4,JEK,87/101,,14
87,5,JEK,87/101,,29
87,6,JEK,87/101,,30
87,7,JEK,87/101,,10
87,8,JEK,87/101,,8
87,9,JEK,87/101,,9
88,1,JEK,87/101,,57
88,2,JEK,87/101,,56
88,3,JEK,87/101,,55
88,4,MUN,87/1,,"-5:1,38"
88,5,MUN,87/1,,-2:62
88,6,MUN,87/1,,-6:8
88,7,MUN,87/1,,-3:2
88,8,MUN,87/1,,-3:1
88,9,MUN,87/1,,-6:3
89,1,MUN,87/1,,-1:4
89,2,MUN,87/1,,-4:2
89,3,MUN,87/1,,-3:6 -4:1
89,4,MUN,87/1,,-1:1
89,5,MUN,87/1,,-1:5 -2:1
89,6,MUN,87/1,,-3:3
89,7,MUN,87/1,,-1:2
89,8,MUN,87/1,,-1:3
90,1,MUN,87/1,,-6:2
90,2,MUN,87/1,,-6:1
91,1,MUN,87/2-1-1,,-4:2
91,2,MUN,87/2-1-1,,"-2:2 -4:3,10-11,13"
91,3,MUN,87/2-1-1,,"-4:5-6,8,12,14-21 -5:3"
91,4,MUN,87/2-1-1,,"-4:4,7,9 -5:4-6,8-9"
91,5,MUN,87/2-1-1,,-5:2
91,6,MUN,87/2-1-1,,-7:1-2
91,7,MUN,87/2-1-1,,-8:3
91,8,MUN,87/2-1-1,,-8:1
92,1,MUN,87/2-1-3,,"-1:1b, -1/-2/-3:1,5"
92,2,MUN,87/2-1-3,,"-1:2, -1/-2/-3:14a; -6:6a"
92,3,MUN,87/2-1-3,,-1:1a
92,4,MUN,87/2-1-3,,-4:4
92,5,MUN,87/2-1-3,,"3, -2:3"
92,6,MUN,87/2-1-3,,-5:5
92,7,MUN,87/2-1-3,,-6:6
92,8,MUN,87/2-1-3,,8
92,9,MUN,87/2-1-3,,-3/-4/-5:18
93,1,MUN,87/2-1-3,,7 -1:e-f
93,2,MUN,87/2-1-3,,-5:12
93,3,MUN,87/2-1-3,,10
93,4,MUN,87/2-1-3,,9
93,5,MUN,87/2-1-3,,13a
93,6,MUN,87/2-1-3,,-6:15
93,7,MUN,87/2-1-3,,-4:11 -3/-4/-5:19
93,8,MUN,87/2-1-3,,-1/-2/-3:8
94,1,MUN,87/3,,"-2-2-1,2,3,4:14, 15"
94,2,MUN,87/3,,"-2-2-1,2,3,4:9, -5-2-3:2"
94,3,MUN,87/3,,"-2-2-1,2,3,4:7"
94,4,MUN,87/101,,41
94,5,MUN,87/101,,49
94,6,ITN,87/101,,2
94,7,ITN,87/101,,1
94,8,ITN,87/103,,17
94,9,ITN,87/103,,14
95,1,ITN,87/103,,1
95,2,ITN,87/103,,3
95,3,ITN,87/103,,5
95,4,ITN,87/103,,15
95,5,ITN,87/103,,16
96,1,ITN,87/103,,2
96,2,ITN,87/103,,7
96,3,ITN,87/103,,11
96,4,ITN,87/103,,32
96,5,ITN,87/103,,28
96,6,ITN,87/103,,9
97,1,ITN,87/103,,12
97,2,ITN,87/103,,8
97,3,ITN,87/103,,6
97,4,ITN,87/103,,
97,5,ITN,87/103,,10
97,6,EPE,87/101,,1
97,7,EPE,87/101,,"2, 10"
98,1,OUE,87/101,,A
98,2,OUE,87/101,,B-F
98,3,OUE,87/101,,B-F
98,4,OUE,87/101,,B-F
98,5,OUE,87/101,,B-F
98,6,OUE,87/101,,B-F
